---------------------------------

Execution of S1 for Single Linked list:

---------------------------------

---------------------------------

**** Before Team Of Four Operation  ****


1 2 3 4 
156091745 1356425228 1399125485 1899894091 
585640194 937186357 1025921153 1646035001 
357571490 510616708 590357944 771515668 
130060903 1044788124 1927702196 1952509530 
685118024 1083454666 1108728549 1942727722 
194847408 571540977 1060806853 2118797801 
158374933 824938981 1075260298 2035308228 
595028635 997389814 1137623865 1962408013 
107554536 1635339425 1654001669 2020739063 
34075629 269220094 1478446501 1777724115 
1351934195 1557810404 1581030105 1864546517 
500782188 657821123 1908194298 2146319451 
753799505 1102246882 1269406752 1816731566 
578354438 884936716 892053144 1807130337 

**** After Reverse Operation  ****s


1807130337 892053144 884936716 578354438 
1816731566 1269406752 1102246882 753799505 
2146319451 1908194298 657821123 500782188 
1864546517 1581030105 1557810404 1351934195 
1777724115 1478446501 269220094 34075629 
2020739063 1654001669 1635339425 107554536 
1962408013 1137623865 997389814 595028635 
2035308228 1075260298 824938981 158374933 
2118797801 1060806853 571540977 194847408 
1942727722 1108728549 1083454666 685118024 
1952509530 1927702196 1044788124 130060903 
771515668 590357944 510616708 357571490 
1646035001 1025921153 937186357 585640194 
1899894091 1399125485 1356425228 156091745 
2110010672 1617819336 1551901393 530511967 
2128236579 1624379149 1358580979 784558821 
1580723810 704877633 563613512 101929267 
1954899097 1636807826 1505795335 893351816 
1817129560 1404280278 1131570933 197493099 
1998097157 1474833169 1264817709 896544303 
1441282327 823378840 143542612 16531729 
1784484492 1137522503 114807987 74243042 
2007237709 1458777923 1115438165 823564440 
1457850878 1144108930 470211272 101027544 
1622650073 984943658 282475249 16807 

---------------------------------

---------------------------------

**** Before shuffling opearion ****

** first half **

1807130337 892053144 884936716 578354438 
1816731566 1269406752 1102246882 753799505 
2146319451 1908194298 657821123 500782188 
1864546517 1581030105 1557810404 1351934195 
1777724115 1478446501 269220094 34075629 
2020739063 1654001669 1635339425 107554536 
1962408013 1137623865 997389814 595028635 
2035308228 1075260298 824938981 158374933 
2118797801 1060806853 571540977 194847408 
1942727722 1108728549 1083454666 685118024 
1952509530 1927702196 1044788124 130060903 
771515668 590357944 510616708 357571490 
1646035001 1025921153 

** second half **

937186357 585640194 1899894091 1399125485 
1356425228 156091745 2110010672 1617819336 
1551901393 530511967 2128236579 1624379149 
1358580979 784558821 1580723810 704877633 
563613512 101929267 1954899097 1636807826 
1505795335 893351816 1817129560 1404280278 
1131570933 197493099 1998097157 1474833169 
1264817709 896544303 1441282327 823378840 
143542612 16531729 1784484492 1137522503 
114807987 74243042 2007237709 1458777923 
1115438165 823564440 1457850878 1144108930 
470211272 101027544 1622650073 984943658 
282475249 16807 

**** After shuffling opearion ****

1807130337 937186357 892053144 585640194 
884936716 1899894091 578354438 1399125485 
1816731566 1356425228 1269406752 156091745 
1102246882 2110010672 753799505 1617819336 
2146319451 1551901393 1908194298 530511967 
657821123 2128236579 500782188 1624379149 
1864546517 1358580979 1581030105 784558821 
1557810404 1580723810 1351934195 704877633 
1777724115 563613512 1478446501 101929267 
269220094 1954899097 34075629 1636807826 
2020739063 1505795335 1654001669 893351816 
1635339425 1817129560 107554536 1404280278 
1962408013 1131570933 1137623865 197493099 
997389814 1998097157 595028635 1474833169 
2035308228 1264817709 1075260298 896544303 
824938981 1441282327 158374933 823378840 
2118797801 143542612 1060806853 16531729 
571540977 1784484492 194847408 1137522503 
1942727722 114807987 1108728549 74243042 
1083454666 2007237709 685118024 1458777923 
1952509530 1115438165 1927702196 823564440 
1044788124 1457850878 130060903 1144108930 
771515668 470211272 590357944 101027544 
510616708 1622650073 357571490 984943658 
1646035001 282475249 1025921153 16807 

---------------------------------
---------------------------------

Execution of S1 for Double Linked list:

---------------------------------

---------------------------------

**** Before Team Of Four Operation  ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

**** After Team Of Four Operation ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

---------------------------------

---------------------------------

**** Before Reverse Operation  ****


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 51 52 
53 54 55 56 
57 58 59 60 
61 62 63 64 
65 66 67 68 
69 70 71 72 
73 74 75 76 
77 78 79 80 
81 82 83 84 
85 86 87 88 
89 90 91 92 
93 94 95 96 
97 98 99 100 

**** After Reverse Operation  ****


100 99 98 97 
96 95 94 93 
92 91 90 89 
88 87 86 85 
84 83 82 81 
80 79 78 77 
76 75 74 73 
72 71 70 69 
68 67 66 65 
64 63 62 61 
60 59 58 57 
56 55 54 53 
52 51 50 49 
48 47 46 45 
44 43 42 41 
40 39 38 37 
36 35 34 33 
32 31 30 29 
28 27 26 25 
24 23 22 21 
20 19 18 17 
16 15 14 13 
12 11 10 9 
8 7 6 5 
4 3 2 1 

---------------------------------

---------------------------------

**** Before shuffling opearion ****

** first half **


1 2 3 4 
5 6 7 8 
9 10 11 12 
13 14 15 16 
17 18 19 20 
21 22 23 24 
25 26 27 28 
29 30 31 32 
33 34 35 36 
37 38 39 40 
41 42 43 44 
45 46 47 48 
49 50 

** Second half **


51 52 53 54 
55 56 57 58 
59 60 61 62 
63 64 65 66 
67 68 69 70 
71 72 73 74 
75 76 77 78 
79 80 81 82 
83 84 85 86 
87 88 89 90 
91 92 93 94 
95 96 97 98 
99 100 

**** After shuffling opearion ****

1 51 2 52 
3 53 4 54 
5 55 6 56 
7 57 8 58 
9 59 10 60 
11 61 12 62 
13 63 14 64 
15 65 16 66 
17 67 18 68 
19 69 20 70 
21 71 22 72 
23 73 24 74 
25 75 26 76 
27 77 28 78 
29 79 30 80 
31 81 32 82 
33 83 34 84 
35 85 36 86 
37 87 38 88 
39 89 40 90 
41 91 42 92 
43 93 44 94 
45 95 46 96 
47 97 48 98 
49 99 50 100 

---------------------------------

-----------------------------------------------------

---------------------------------

Execution of S2 for Double Linked list:

---------------------------------

---------------------------------

**** Before Team Of Four Operation  ****


1153851501 1004844897 616783871 382955828 
330111137 1227619358 1723153177 70982397 
1147722294 1070477904 2051621609 1606946231 
1190959745 1912844175 1341853635 1808266298 
343098142 456880399 1534827968 280090412 
195400260 589673557 6441594 889688008 
57716395 1524325968 2014119113 515204530 
388471006 681910962 1904797942 1400285365 
322842082 1463179852 828530767 832633821 
1073185695 316824712 1260973671 1815859901 
1267248590 2051724831 1194314738 318153057 
2111631616 877819790 304555640 1213110679 
541437335 1049077006 996497972 2063936098 
270649095 428975319 685583454 1351345223 
272112289 1398556760 1334948905 1724586126 
532236123 1023129506 836045813 436476770 
60935238 1936329094 915896220 304987844 
2034712366 881140534 281725226 1901915394 
197941363 348318738 152607844 784559590 
543436550 290145159 1681808623 977764947 
750597385 971307217 1737195272 2000755539 
1399399247 462242385 1459413496 1951894885 
537140623 1848682420 1012028144 1086531968 
1289335735 1755699915 1623161625 992663534 
2043046042 1358796011 943454679 1771024152 

**** After Team Of Four Operation ****


382955828 616783871 1004844897 1153851501 
70982397 330111137 1227619358 1723153177 
1070477904 1147722294 1606946231 2051621609 
1190959745 1341853635 1808266298 1912844175 
280090412 343098142 456880399 1534827968 
6441594 195400260 589673557 889688008 
57716395 515204530 1524325968 2014119113 
388471006 681910962 1400285365 1904797942 
322842082 828530767 832633821 1463179852 
316824712 1073185695 1260973671 1815859901 
318153057 1194314738 1267248590 2051724831 
304555640 877819790 1213110679 2111631616 
541437335 996497972 1049077006 2063936098 
270649095 428975319 685583454 1351345223 
272112289 1334948905 1398556760 1724586126 
436476770 532236123 836045813 1023129506 
60935238 304987844 915896220 1936329094 
281725226 881140534 1901915394 2034712366 
152607844 197941363 348318738 784559590 
290145159 543436550 977764947 1681808623 
750597385 971307217 1737195272 2000755539 
462242385 1399399247 1459413496 1951894885 
537140623 1012028144 1086531968 1848682420 
992663534 1289335735 1623161625 1755699915 
943454679 1358796011 1771024152 2043046042 

---------------------------------

---------------------------------

**** Before Reverse Operation  **** 


382955828 616783871 1004844897 1153851501 
70982397 330111137 1227619358 1723153177 
1070477904 1147722294 1606946231 2051621609 
1190959745 1341853635 1808266298 1912844175 
280090412 343098142 456880399 1534827968 
6441594 195400260 589673557 889688008 
57716395 515204530 1524325968 2014119113 
388471006 681910962 1400285365 1904797942 
322842082 828530767 832633821 1463179852 
316824712 1073185695 1260973671 1815859901 
318153057 1194314738 1267248590 2051724831 
304555640 877819790 1213110679 2111631616 
541437335 996497972 1049077006 2063936098 
270649095 428975319 685583454 1351345223 
272112289 1334948905 1398556760 1724586126 
436476770 532236123 836045813 1023129506 
60935238 304987844 915896220 1936329094 
281725226 881140534 1901915394 2034712366 
152607844 197941363 348318738 784559590 
290145159 543436550 977764947 1681808623 
750597385 971307217 1737195272 2000755539 
462242385 1399399247 1459413496 1951894885 
537140623 1012028144 1086531968 1848682420 
992663534 1289335735 1623161625 1755699915 
943454679 1358796011 1771024152 2043046042 

**** After Reverse Operation  **** 


2043046042 1771024152 1358796011 943454679 
1755699915 1623161625 1289335735 992663534 
1848682420 1086531968 1012028144 537140623 
1951894885 1459413496 1399399247 462242385 
2000755539 1737195272 971307217 750597385 
1681808623 977764947 543436550 290145159 
784559590 348318738 197941363 152607844 
2034712366 1901915394 881140534 281725226 
1936329094 915896220 304987844 60935238 
1023129506 836045813 532236123 436476770 
1724586126 1398556760 1334948905 272112289 
1351345223 685583454 428975319 270649095 
2063936098 1049077006 996497972 541437335 
2111631616 1213110679 877819790 304555640 
2051724831 1267248590 1194314738 318153057 
1815859901 1260973671 1073185695 316824712 
1463179852 832633821 828530767 322842082 
1904797942 1400285365 681910962 388471006 
2014119113 1524325968 515204530 57716395 
889688008 589673557 195400260 6441594 
1534827968 456880399 343098142 280090412 
1912844175 1808266298 1341853635 1190959745 
2051621609 1606946231 1147722294 1070477904 
1723153177 1227619358 330111137 70982397 
1153851501 1004844897 616783871 382955828 

---------------------------------

---------------------------------

**** Before shuffling opearion ****


** first half **


2043046042 1771024152 1358796011 943454679 
1755699915 1623161625 1289335735 992663534 
1848682420 1086531968 1012028144 537140623 
1951894885 1459413496 1399399247 462242385 
2000755539 1737195272 971307217 750597385 
1681808623 977764947 543436550 290145159 
784559590 348318738 197941363 152607844 
2034712366 1901915394 881140534 281725226 
1936329094 915896220 304987844 60935238 
1023129506 836045813 532236123 436476770 
1724586126 1398556760 1334948905 272112289 
1351345223 685583454 428975319 270649095 
2063936098 1049077006 

** Second half **


996497972 541437335 2111631616 1213110679 
877819790 304555640 2051724831 1267248590 
1194314738 318153057 1815859901 1260973671 
1073185695 316824712 1463179852 832633821 
828530767 322842082 1904797942 1400285365 
681910962 388471006 2014119113 1524325968 
515204530 57716395 889688008 589673557 
195400260 6441594 1534827968 456880399 
343098142 280090412 1912844175 1808266298 
1341853635 1190959745 2051621609 1606946231 
1147722294 1070477904 1723153177 1227619358 
330111137 70982397 1153851501 1004844897 
616783871 382955828 

**** After shuffling opearion ****

2043046042 996497972 1771024152 541437335 
1358796011 2111631616 943454679 1213110679 
1755699915 877819790 1623161625 304555640 
1289335735 2051724831 992663534 1267248590 
1848682420 1194314738 1086531968 318153057 
1012028144 1815859901 537140623 1260973671 
1951894885 1073185695 1459413496 316824712 
1399399247 1463179852 462242385 832633821 
2000755539 828530767 1737195272 322842082 
971307217 1904797942 750597385 1400285365 
1681808623 681910962 977764947 388471006 
543436550 2014119113 290145159 1524325968 
784559590 515204530 348318738 57716395 
197941363 889688008 152607844 589673557 
2034712366 195400260 1901915394 6441594 
881140534 1534827968 281725226 456880399 
1936329094 343098142 915896220 280090412 
304987844 1912844175 60935238 1808266298 
1023129506 1341853635 836045813 1190959745 
532236123 2051621609 436476770 1606946231 
1724586126 1147722294 1398556760 1070477904 
1334948905 1723153177 272112289 1227619358 
1351345223 330111137 685583454 70982397 
428975319 1153851501 270649095 1004844897 
2063936098 616783871 1049077006 382955828 

---------------------------------
Program ended with exit code: 0
